backer_number,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
362,0,1,1,1,0,2.25,3,2.75,2.15,2.75,4.15,1,0,0,1,0,0,0,0,0,0
84,0,1,0,0,0,2.5,2.5,2.5,2.5,2.5,0.1,1,0,0,0,0,0,0,0,0,0
310,0,0,0,0,1,0,4.05,0,1.45,2.3,3.4,0,0,0,0,1,1,1,0,0,0
2,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
139,0,0,1,1,0,2.5,4.45,1.7,2.95,1.7,4.45,0,1,0,1,0,0,0,0,0,0
61,0,0,0,1,0,1.05,3.6,1.3,2.5,2.5,4.2,0,0,0,0,0,0,0,0,0,0
199,1,1,1,1,0,3.75,3.45,3.15,3.55,4.05,4.6,1,1,0,0,0,0,0,0,0,0
267,0,0,1,1,1,4,1.45,3.9,4,2,2.7,1,1,1,1,0,0,0,0,0,0
175,0,0,1,0,0,2.6,4.15,0.35,2.45,1.6,3.45,0,0,0,0,0,0,0,0,0,0
38,0,1,1,1,0,3.25,4,2.65,1.9,2.5,3.7,1,1,0,1,1,0,0,0,0,0
129,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
145,0,1,1,0,0,3.1,5,2.5,3.8,2.5,3.45,0,0,0,0,0,0,0,0,0,0
220,0,1,1,0,0,2.5,0,0,5,3.9,3.95,1,0,0,1,0,0,0,0,0,0
277,0,0,0,1,1,1.45,5,2.5,1.25,1.7,4,0,0,0,0,0,0,0,0,0,1
179,0,0,1,1,1,1.5,0.5,2.45,5,3.2,1.6,1,1,1,1,1,0,0,0,0,0
88,0,0,1,0,0,2.95,3.05,2,3.25,3.25,2.9,0,0,0,0,0,0,0,0,1,0
87,0,0,1,1,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
80,0,0,1,0,0,1,1.75,0,3.15,3.85,2.8,0,0,0,0,0,0,0,0,0,0
202,1,1,0,0,0,1.2,3,2.5,3.25,1.8,5,0,0,0,0,0,0,0,1,0,1
19,0,1,1,1,0,3,2.5,2.85,3.6,2.5,3.25,1,1,0,1,0,0,0,0,0,0
348,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
18,0,0,1,1,1,3.15,4,0,3.2,2.55,3.65,1,1,0,1,1,0,0,0,0,0
292,0,1,1,1,0,3.75,3.8,2.5,3.1,2.5,3.4,1,1,0,1,0,0,0,0,0,0
170,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
134,1,1,1,0,0,1.4,2.5,1.3,3.75,1.5,4.15,1,1,0,0,0,0,0,0,0,0
161,0,1,1,1,0,2.5,3.4,2.05,4.1,4.1,4.4,0,0,0,0,0,0,0,0,0,0
325,0,0,1,1,0,2.15,5,1.15,3.55,3.4,3.6,1,1,0,0,0,0,0,0,0,0
35,0,1,1,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
182,0,0,1,1,0,3.85,3.25,1.15,0.15,3.65,4,1,0,0,1,0,0,0,0,0,0
192,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
109,0,0,1,1,1,3.75,2.45,4.45,1.1,2.45,3.5,1,1,1,1,1,1,1,0,0,0
206,0,0,1,1,1,2.3,0.75,2.4,3.75,2.5,1.85,1,0,1,1,1,1,1,0,0,0
280,0,0,0,1,1,3.7,0.55,0.9,2.35,1.5,3.65,0,0,1,1,1,1,0,0,0,0
302,0,1,1,1,1,1.6,2.1,3.75,1.65,2.5,2.65,0,1,1,1,1,1,1,0,0,0
240,0,1,1,0,0,0.6,1.5,1.55,2.25,3.15,3.15,0,0,0,0,0,0,0,0,0,0
106,0,1,0,0,0,3.15,3.6,3.9,1.4,3.1,3.5,0,1,0,1,0,0,0,0,0,0
253,0,0,1,0,0,5,0,5,5,2.5,5,1,1,1,1,0,0,0,0,0,0
184,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,1,1.75,3.8,1.4,1.75,3.55,4.65,0,0,0,1,1,0,0,0,0,0
133,0,1,1,1,0,2,3.5,1.05,0.8,0.6,1.55,0,0,0,0,0,0,0,0,0,0
248,0,0,1,0,0,2.5,2.95,2.5,3.15,2.5,3.15,1,1,1,0,1,0,0,0,0,0
243,1,1,1,1,0,2.5,4.05,0.8,2.5,2.5,4.05,1,0,1,1,1,1,0,0,0,0
345,0,0,1,1,0,3.3,1.3,2.15,3.7,3.55,3.55,1,0,1,1,1,0,0,0,0,0
16,0,0,1,1,0,0.5,0.55,0.55,1.65,2.45,3.3,0,0,0,0,0,0,0,0,0,0
43,0,0,0,1,1,2.65,2.15,2.75,1.25,2.9,4.45,0,0,0,1,1,1,1,0,0,0
153,0,0,1,0,0,1.55,0.85,1.9,2.5,3,2.5,0,0,0,0,0,0,0,0,0,0
301,0,0,1,1,0,4.05,3.55,3.1,2.15,1.65,3.65,1,1,0,1,0,0,0,0,0,0
273,0,1,1,1,1,3.4,1.6,3.4,2.5,2.5,1.6,1,1,0,1,1,1,0,0,0,0
