Product ID,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
Heirloom Hot Sauce Chiltepin,0,1,0,0,0,1.5,1.5,1,3,3,1.5,0,0,0,0,0,0,0,1,1,1
Street Eatzz 313 Foodie Sauce,0,0,1,0,0,3,2,3,2,2,0,0,0,0,1,0,0,0,1,1,1
Sweet Heat Gourmet Roasted Jalapeno Hot Sauce,0,1,0,0,0,3.5,2,2,2,2,1.5,1,0,0,0,0,0,0,0,1,1
Sweet Heat Gourmet Key Lime Pear Hot Sauce,1,0,0,0,0,4.5,1.5,4.5,1,1.5,1,0,0,0,1,0,0,0,0,1,1
Sweet Heat Gourmet Sinclair's Fatali Hot Sauce,0,0,1,0,0,4,1.5,3,2,1,1,0,0,0,0,0,0,0,1,1,1
Sweet Heat Gourmet Pineapply & Ghost Pepper Hot Sauce,0,0,0,1,0,4.5,2.5,4.5,1.5,2,1.5,0,0,0,0,1,0,0,1,1,1
Sweet Heat Gourmet Moruga Scorpion Hot Sauce,0,0,0,1,0,3.5,1.5,3,2,2,1,0,0,0,0,0,1,0,1,1,1
Bigfat's 208 Bajan Style Hot Sauce,0,0,1,0,0,1,1,1,2.5,1.5,3.5,0,0,0,1,0,0,0,1,1,1
Bigfat's 708 7 Pot Citrus Hot Sauce,0,0,0,1,0,3,2,2.5,1,1.5,2.5,0,0,0,0,0,0,0,1,1,1
Bigfat's 808 Naga Jolokia Hot Sauce,0,0,0,1,0,1,3,0.5,1.5,2.5,3,0,0,0,1,1,0,0,1,1,1
Torchbearer Sauces Zombie Apocalypse,0,0,0,0,1,1.5,2,2,1.5,2,1.5,0,0,0,1,1,0,0,1,1,1
Torchbearer Sauces #7 Sultry Hot Sauce,0,0,1,0,0,3,0.5,3,1.5,1.5,1,0,0,0,1,0,0,0,1,1,1
Torchbearer Sauces #37 Tarnation Hot Sauce,0,0,1,0,0,2.5,0.5,3,2,1.5,1,0,0,0,1,0,0,0,1,1,1
Torchbearer Sauces Carolina-Style Barbeque Sauce,1,0,0,0,0,3.5,1.5,1,3,1.5,1,0,0,0,0,0,0,0,1,1,1
Torchbearer Sauces Smokey Horseradish Sauce,0,1,0,0,0,0.5,3.5,0,2,2.5,2.5,0,0,0,1,0,0,0,1,1,1
Torchbearer Sauces Oh My Garlic!,0,0,0,0,0,0.5,1.5,0,1,1.5,4,0,0,0,0,0,0,0,1,1,1
Pablo's Peaches N' Heat,0,1,0,0,0,4,0.5,4,2.5,1.5,0,0,1,0,0,0,0,0,1,1,1
Pablo's Peaches On Fire,0,0,1,0,0,4.5,0.5,3.5,1.5,1.5,0.5,0,0,0,1,0,0,0,1,1,1
Pablo's Bull Fighter,0,0,0,1,0,2.5,2,3,2,2.5,0.5,0,0,0,1,1,0,0,1,1,1
Mina Harissa Green Harissa,0,1,0,0,0,1.5,1,1,1.5,2.5,4,0,0,0,0,0,0,0,1,1,1
Lucky Dog Hot Sauce Green Label - Mild,0,1,0,0,0,1.5,3,1,1.5,2,3.5,0,0,0,0,0,0,0,1,1,1
Lucky Dog Hot Sauce Purple Lable - Extra Mild,1,0,0,0,0,2.5,2.5,1,1.5,1.5,3,1,0,0,0,0,0,0,1,1,1
Lucky Dog Hot Sauce Red Label - Medium,0,1,0,0,0,2.5,3,1,1.5,2.5,3,0,0,0,0,0,0,0,1,1,1
Lucky Dog Hot Sauce Dia Del Perro,0,1,0,0,0,1.5,3,1,1.5,2.5,2.5,0,1,0,0,0,0,0,1,1,1
Lucky Dog Hot Sauce Black Label - Extra Hot,0,0,0,1,0,3,2,2.5,1,2,2,1,0,0,0,1,1,0,1,1,1
Secret Aardvark Habanero Hot Sauce,0,0,1,0,0,3,2,2,2,2.5,2.5,1,0,0,0,0,0,0,1,1,1
